기업명,가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석,k
(주)테크디엔에이,O,O,X,X,O,X,X,X,3
윌로특허법률사무소,O,X,X,X,O,O,X,O,4
(주)내일사장(NAEIL SAJANG CORP.)00200292023020321577575,O,O,O,O,O,O,O,O,8
(주)스캐터엑스,O,X,X,X,O,X,X,O,3
주식회사에이리스,O,O,O,O,O,X,O,O,7
(주)노드데이타,O,X,O,X,X,X,X,X,2
(사)한국전자정보통신산업진흥회,O,O,X,O,O,X,X,O,5
주식회사에이비엠랩,O,O,O,O,O,O,O,O,8
머큐리프로젝트 주식회사,O,X,X,X,O,O,O,O,5
(주)피앰아이,O,O,O,O,O,O,O,O,8
주식회사 블렌디드랩,O,O,O,O,O,O,O,O,8
비비트리 주식회사,X,X,X,X,X,X,X,X,0
(주)이누리,O,O,X,X,X,X,X,X,2
데이터스랩 주식회사,O,O,O,O,O,O,X,O,7
주식회사 알파브라더스,O,O,O,O,O,O,O,O,8
주식회사 테스티파이,O,O,O,O,O,O,O,O,8
주식회사 아이택트,O,O,X,O,O,X,O,O,6
(주)식스컴퍼니,O,O,O,X,X,X,X,X,3
(주)테닛,O,O,O,X,O,O,O,O,7
(주)코드넛()002302720210527123000778,O,O,X,X,O,O,X,O,5
(주)하이로컬,O,O,O,O,O,O,O,O,8
(주)메디에이지,O,O,X,X,X,X,X,O,3
에이비씨특허법률사무소,O,O,X,X,O,O,X,O,5
주식회사 스마트동스쿨,X,X,X,X,X,X,X,X,0
(주)에세텔,O,X,X,X,X,X,X,O,2
(주)우리은행,O,O,X,X,X,O,O,O,5
주식회사 뉴로라인즈,O,X,X,X,O,X,O,O,4
주식회사 더블유포지션,O,O,X,O,O,O,O,O,7
(주)케이플러스,O,O,O,O,O,O,O,O,8
파워콘스,O,O,O,X,X,X,X,O,4
(주)상상력집단,O,O,O,O,O,O,O,O,8
비큐에이아이(BECUAI),X,X,X,X,X,X,X,X,0
주식회사 빅인사이트,O,O,X,X,O,O,X,O,5
(주)바틀,O,O,O,O,O,O,O,O,8
어니컴주식회사,O,O,X,O,O,O,X,O,6
(주)오픈컴,O,O,O,O,O,O,O,O,8
(주)엘리그승인자(BizBank)008802320220627188001247,O,O,O,O,O,O,O,O,8
주식회사 엔클,O,O,O,O,O,O,O,O,8
약학정보원,X,X,X,X,X,X,X,X,0
아하앤컴퍼니 주식회사,X,X,X,X,X,X,X,X,0
페타프레임,O,O,O,O,O,O,O,O,8
주식회사 아이원_0001247342,O,O,X,X,O,O,O,O,6
주식회사 해시퍼플,O,O,O,O,O,O,O,O,8
아이플랜국제특허법률사무소,O,O,O,X,O,X,X,O,5
특허법인 티앤아이,O,O,X,X,O,O,O,O,6
주식회사 테크스타,O,O,O,O,O,O,O,O,8
이브이앤솔루션 주식회사,O,O,O,O,O,X,O,O,7
한국평가데이터,O,X,X,X,O,X,X,O,3
주식회사 이오앱스,O,O,O,O,O,O,O,O,8
(주)데이터사이언스랩,O,O,O,O,O,O,O,O,8
드론테크,O,O,O,O,O,X,O,O,7
주식회사 알체라,O,O,O,X,X,O,O,X,5
(주)나이스컨설팅,O,O,O,O,O,O,O,O,8
한국스마트기술센터,O,O,O,O,O,O,O,O,8
특허사무소공앤유,O,X,X,X,O,O,X,O,4
주식회사 에프디테크,O,O,O,O,O,O,O,O,8
(주)스팩스페이스,O,O,O,O,X,O,O,X,6
(주)옥토봇,O,O,O,O,O,O,O,O,8
주식회사 다비오,O,O,X,X,O,X,O,O,5
주식회사 한국데이터뱅크,O,O,O,X,X,O,X,O,5
특허법인 로드,O,O,O,X,O,O,X,O,6
아이디비 주식회사,O,O,O,O,O,O,O,O,8
주식회사 레드테이블,X,X,X,X,X,X,X,X,0
주식회사 푸딩,O,O,O,O,O,O,O,O,8
(주)사이람,O,O,X,X,O,O,X,O,5
(주)에이아이스타,O,O,O,O,O,O,O,O,8
주식회사 더블오,O,O,O,O,O,O,O,O,8
코코넛사일로 (주),O,O,O,O,O,O,O,O,8
(주)코랩인터내셔널(BizBank)008802820200820188001877,X,X,X,X,X,X,X,X,0
주식회사 휴머스온,O,O,O,O,O,O,X,O,7
주식회사 솔팩,O,O,O,O,X,O,O,X,6
(주)모니터랩,O,O,X,O,X,O,O,O,6
에이아이인사이트,O,O,O,X,X,O,X,O,5
(주)마켓링크,O,O,O,O,O,O,O,O,8
주식회사 빅웨이브에이아이,O,O,O,O,O,O,O,O,8
(주)이씨스,O,O,O,O,X,O,O,O,7
주식회사인터엑스,O,O,O,X,O,O,O,O,7
주식회사 테이큰소프트,O,O,O,O,O,O,O,O,8
주식회사 터빈크루,O,O,X,X,O,X,X,O,4
주식회사 마크클라우드,O,O,O,O,O,O,O,O,8
주식회사 보이스루,O,X,O,X,X,O,O,X,4
주식회사 스페이셜코어,O,O,O,O,O,O,O,O,8
(주)스피랩,O,O,X,O,O,X,X,O,5
(주)크레아텍,O,X,O,X,O,X,X,O,4
(주)늘푸른정보기술,O,O,O,O,O,O,O,O,8
(주)에이피메타랩스,O,O,O,O,O,O,O,O,8
주식회사 스퀘어스,O,X,X,X,O,O,X,O,4
세븐제너레이션,O,O,O,O,O,O,O,O,8
주식회사 코매퍼,O,O,O,O,O,O,O,O,8
주식회사 아이피씨앤비,O,O,O,O,O,O,O,O,8
(주)엠펀치,O,O,X,O,O,O,X,O,6
(주)에이아이리더,O,O,O,O,O,O,O,O,8
(주)와이즈인컴퍼니,O,O,O,O,X,O,O,O,7
(주)이젬코,O,O,O,O,O,O,X,O,7
컨트롤에프 주식회사,O,O,O,O,O,O,O,O,8
주식회사 업트래닉스(UPTRE)008105520250404381000861,O,X,X,X,O,X,X,O,3
(주)와우쓰리디(WOW3D),O,O,O,O,O,O,O,O,8
(주)아이씨엔아이티,O,O,O,O,O,O,O,O,8
주식회사 플롯팩토리,O,O,O,O,O,O,O,O,8
스쿨모아 주식회사,O,O,O,O,O,O,X,O,7
월드텍,O,O,O,O,O,O,O,O,8
주식회사날리지큐브,O,O,O,O,O,O,O,O,8
주식회사 리버스마운틴,O,O,X,X,O,O,X,O,5
(주)맵시,O,O,X,O,O,X,X,O,5
(주)서브소프트,O,O,O,O,O,O,O,O,8
주식회사 엠티에스티,O,O,O,O,O,O,O,O,8
한국품질기술원 주식회사,O,O,O,O,O,O,O,O,8
타이거 인공지능,O,O,O,O,O,O,O,O,8
가치공간정보 주식회사,O,X,X,X,O,X,X,O,3
(주)딥세일즈,X,X,X,X,X,X,X,X,0
에너지닥터(주),O,O,O,O,O,O,O,O,8
주식회사 엑스알에이아이,O,O,O,O,O,O,O,O,8
팔레트 주식회사,O,X,X,X,X,X,X,X,1
주식회사 엔엠,O,X,X,X,O,O,X,O,4
지비피엘 주식회사,O,O,X,O,O,O,X,O,6
㈜하마다랩스,O,O,X,O,O,O,O,O,7
(주)코테크시스템,O,O,O,O,O,O,O,X,7
주식회사 리커너스,O,X,X,X,O,O,X,O,4
차정원,O,O,O,O,O,O,O,O,8
(주)아이디이노랩,O,O,X,X,O,O,X,O,5
(주)국민은행,O,X,X,X,O,O,O,O,5
주식회사 스페이스오디티,O,X,X,X,O,X,X,O,3
주식회사 이너피플,O,O,O,O,O,O,X,O,7
주식회사 밸리언트데이터,O,O,O,X,X,X,O,O,5
특허법률사무소 창_0001725809,O,O,X,X,O,O,X,O,5
주식회사 피케이,O,X,X,X,O,X,X,X,2
주식회사 큐빅,O,X,O,X,X,X,O,O,4
나이스지니데이타 주식회사,O,O,O,O,O,O,O,O,8
주식회사 비솔,X,X,X,X,X,X,X,X,0
(주)사운드리더,X,X,X,X,X,X,X,X,0
주식회사 인핸스,O,O,O,O,O,O,O,O,8
주식회사 초이웍스,O,O,O,O,O,O,O,O,8
특허법인 아이엠,O,O,X,X,O,O,X,O,5
(주)미래에스디 승인(BizBank)008805320210113488008325,O,O,O,X,O,X,X,O,5
오토오모니터 주식회사,O,O,X,X,X,O,X,O,4
디지털 리퍼블릭,O,O,O,O,O,X,O,O,7
주식회사 이데아인포,O,X,X,X,X,X,X,X,1
오픈그래프랩스,O,O,O,O,O,X,O,O,7
한솔코에버(주),O,O,O,O,O,O,O,O,8
(주)데이터웨이,O,O,O,O,O,O,O,O,8
(주)테크다스,O,O,X,O,O,X,X,O,5
(주)웨더아이,O,O,X,O,O,O,O,O,7
(주)프로보이스,O,O,X,X,X,X,O,X,3
(주)이글루코퍼레이션,O,O,X,X,X,X,O,O,4
주식회사 엑스에이아이,O,O,O,O,O,O,O,O,8
(주)지디에스컨설팅그룹,O,O,O,O,O,O,O,O,8
리더스경영지도사사무소,O,O,O,O,O,O,O,O,8
주식회사 비비다드,X,X,X,X,X,X,X,X,0
주식회사 꿀비,O,O,O,O,O,O,O,O,8
주식회사 로맨,O,O,O,O,O,O,O,O,8
메이크이지 주식회사,O,O,X,X,O,O,X,O,5
특허법인 루트,O,X,X,X,O,X,X,O,3
와이들리랩스,O,O,O,O,O,O,O,O,8
주식회사 듀이랩스,O,O,O,O,O,O,O,O,8
에이아이 데이터 연구소,O,O,O,O,O,O,X,O,7
(주)딜리버리엠,X,X,X,X,X,X,X,X,0
인그래디언트,O,O,O,O,O,O,O,O,8
(주)알앤디비,O,O,X,O,X,X,X,O,4
주식회사 인테그랩,O,O,O,O,O,O,O,O,8
(주)휴먼딥,O,O,O,O,O,O,O,O,8
(주)기업혁신센터,O,O,O,O,O,O,O,O,8
주식회사 워크원오원,O,X,X,X,O,X,X,O,3
씽킹데이터코리아 주식회사,O,X,X,X,O,X,X,O,3
(주)디지포레,O,O,O,O,O,X,X,O,6
특허법인  세원,O,O,X,X,X,O,X,O,4
주식회사 한국데이터소프트,O,O,O,O,O,O,O,O,8
(주)코그콤,O,O,O,O,O,O,O,O,8
(주)어픽,O,O,O,X,O,X,X,O,5
(주)뉴로클,O,O,O,O,O,O,O,O,8
주식회사 투그램시스템즈,O,X,X,X,O,X,X,O,3
(주)애마슈,O,O,O,O,O,O,O,O,8
(주)자유로운소프트,O,O,O,O,O,O,O,O,8
에프원소프트(주),O,X,X,X,O,O,O,O,5
최창혁()001102520240527111002861,O,O,O,O,O,O,O,O,8
주식회사 이엠에스,O,O,O,X,O,O,O,O,7
특허그룹 디딤,O,O,O,X,O,O,X,O,6
주식회사 패션서울닷컴,O,O,O,O,O,O,O,O,8
(주)안랩,X,X,X,X,X,X,X,X,0
주식회사 서르,O,O,O,O,O,O,O,O,8
(주)알디스데이터,O,X,X,X,X,X,X,X,1
주식회사 피앤아이솔루션스,O,O,X,X,O,O,X,O,5
주식회사 컬리버,O,O,O,O,O,O,O,O,8
뉴로플로우 주식회사,O,O,O,O,O,O,O,O,8
주식회사 디엔지니어,O,O,O,O,O,O,O,O,8
인프라닉스(주),O,O,O,O,O,O,O,O,8
주식회사 글렉,O,O,O,O,O,O,X,O,7
스마트푸드네트웍스(SFN)0004054H001777306,O,O,O,X,O,O,O,O,7
(주)조이마케팅,X,X,X,X,X,X,X,X,0
아트앤데이터,O,O,O,X,X,O,O,X,5
주)원데이원커뮤니케이션,O,O,O,O,O,O,O,O,8
에이펙스소프트,O,O,O,O,X,O,O,O,7
(주)컴퓨터메이트,O,O,X,X,O,X,X,O,4
(주)스튜디오삼육오,O,O,X,X,O,X,X,X,3
주식회사 솔트룩스이노베이션,O,X,X,X,X,X,X,X,1
(주)이지지오,O,O,O,O,O,O,O,O,8
(주)브레인벤쳐스,O,O,O,O,O,O,O,O,8
주식회사아이웨이,O,O,X,O,O,X,O,X,5
주식회사 시선아이티,O,O,O,O,O,O,X,O,7
(주)고브이알,O,X,X,X,O,X,X,O,3
(주)골든플래닛,O,O,O,O,O,O,O,O,8
(주)인포빌,O,O,X,X,X,O,O,X,4
(주)스튜디오EIM,X,X,X,X,X,X,X,X,0
셀렉트스타 주식회사,O,O,O,X,X,O,O,X,5
상상특허법률사무소_0001260132,O,O,O,X,O,O,O,O,7
주식회사 위베어소프트,O,X,X,O,X,X,X,X,2
주식회사 연우테크놀러지,X,X,X,X,X,X,X,X,0
식스투에잇,O,O,O,X,X,X,X,X,3
주식회사오울소프트(OULSOFT)0004055C002417778,O,O,X,X,X,X,O,O,4
롯데카드,O,O,X,X,X,O,X,O,4
주식회사 컴플렉시온,O,O,O,O,X,O,O,O,7
(주)큐빅테크,O,O,O,O,O,O,O,O,8
주식회사 에코아이,O,O,O,O,X,X,X,O,5
위드라이브,O,O,O,O,O,O,O,O,8
사단법인 문화체육진흥(ko)008102720180108181000452,O,O,X,O,O,O,O,O,7
(주)아이피캠프,O,O,O,O,O,O,O,O,8
주식회사 새론솔루션,O,O,O,O,O,O,O,O,8
아이마인드주식회사,O,O,O,O,O,O,O,O,8
주식회사 아이씨티피플,O,O,O,O,O,O,O,O,8
(주)소프트윙스,O,O,O,O,O,O,O,O,8
(주)제이디소프트 승(BizBank)008802520251121188001306,O,O,O,O,O,O,O,O,8
(주)채움아이티,O,O,O,O,O,X,O,O,7
주식회사 넥스브이,O,O,O,O,O,O,O,O,8
성균관대학교산학협력단,O,O,O,O,O,O,O,O,8
(주)오픈잇,O,O,O,O,O,O,X,O,7
홍상기(뷰티인랩)(HONG SANG KI)0004023H031182634,O,X,X,O,X,X,X,O,3
유한회사나노웨더,O,O,O,X,O,O,X,O,6
특허법인(유한)해담(서울사무소),O,X,X,X,O,X,X,O,3
주식회사 지앤지인터내셔널,O,O,O,O,O,O,O,O,8
주식회사 딥핑소스,O,O,X,X,X,X,O,O,4
주식회사 리다임그룹,O,O,O,X,O,O,X,O,6
(주)디엔비소프트,O,O,X,O,O,O,O,O,7
주식회사 에스디테크,O,O,O,O,O,O,O,O,8
임포트지니어스 코리아,X,X,X,X,X,X,X,X,0
주식회사 머스트리,O,X,X,O,X,O,X,O,4
제엔제이컨설팅 주식회사,O,O,O,O,O,O,O,O,8
(주)비즈스프링,O,O,X,X,O,O,X,O,5
어반 국제특허법률사무소,O,O,O,X,O,O,X,O,6
주식회사원인터내셔(WON INTL INC)0004054I002159683,O,O,O,O,O,O,O,O,8
(주)티오더,X,X,X,X,X,X,X,X,0
주식회사 바이트사이즈,O,O,O,O,O,O,O,O,8
주식회사 원더스랩,O,O,X,O,O,O,X,O,6
(주)데이타트렌드,O,O,O,X,O,O,O,O,7
케이에이앤,O,O,X,X,X,O,O,O,5
픽켓팅,O,O,X,X,O,X,X,O,4
씨벤티지 주식회사,O,O,O,X,O,O,X,O,6
주식회사 브이이엔지,O,O,O,O,O,O,O,O,8
딥비전스,O,O,X,O,O,O,O,O,7
다겸 주식회사,O,O,O,O,O,O,O,O,8
(주)태산솔루젼스,O,X,X,X,X,X,X,X,1
(주)글로벌제조혁신네트웍,O,O,X,X,O,X,X,O,4
주식회사지경솔루텍,O,O,O,O,X,O,X,X,5
에쓰오씨소프트(주),O,O,O,X,O,X,O,O,6
특허법인 도담,O,O,X,X,O,O,X,O,5
주식회사 깔로_0001666672,O,O,O,O,O,X,O,O,7
(주)다래전략사업화센터,O,O,X,X,O,O,X,O,5
