기업명,제공 서비스 분야,일치 키워드 수,일치도(%),가공,전처리,품질,코딩,시각화,정보추출또는조합,태깅또는라벨링,분석
주식회사성민소프트,14,5,62.5,O,O,X,O,O,X,X,O
주식회사 프린토,19,5,62.5,O,X,X,O,O,X,O,O
서울평가정보(주),7,5,62.5,O,O,X,X,X,O,O,O
(주)바이오바이츠,21,5,62.5,O,O,O,X,X,O,X,O
(사)한국물가협회,21,5,62.5,O,O,X,O,O,X,X,O
케이유융합소프트웨어연구센터주식회사_0001663504,16,5,62.5,O,O,X,O,O,X,X,O
(주)마크로밀엠브레인,21 파일/API 지역,5,62.5,O,O,X,O,O,X,X,O
주식회사 에어텍,15,5,62.5,O,X,X,O,O,O,X,O
주식회사에이테크,13,5,62.5,O,O,O,X,X,O,X,O
(주)사이람,11,5,62.5,O,O,X,X,O,O,X,O
(주)디밀리언,20,5,62.5,O,X,X,X,O,O,O,O
주식회사 팀스페이스팜,7,5,62.5,O,O,X,X,O,O,X,O
주식회사 노리스페이스,8,5,62.5,O,O,X,X,X,O,O,O
백경특허법률사무소,17 파일/API 특허,5,62.5,O,O,X,X,O,O,X,O
아이피그라운드,10,5,62.5,O,O,X,X,O,O,X,O
주식회사 모비니티,21,5,62.5,O,O,O,X,O,X,X,O
주식회사임팩티브에이아이,68,5,62.5,O,O,X,X,O,O,X,O
(주)와이즈트래커,12,5,62.5,O,O,X,X,O,O,X,O
유한회사 뮤레파코리아,9,5,62.5,O,O,X,X,O,O,X,O
주식회사 리버스마운틴,7 파일/API 해양수산,5,62.5,O,O,X,O,O,X,X,O
주식회사 데이콘인피니티,14,5,62.5,O,O,O,X,O,X,X,O
(주)엠엠피,12 파일/API 스마트산업,5,62.5,O,O,X,X,O,O,X,O
주식회사 볼타온 (VOLTAON),20,5,62.5,O,O,X,X,X,O,O,O
(주)그리다에너지,18 파일/API 스마트산업,5,62.5,O,O,X,O,O,X,X,O
주식회사아이웨이,10,5,62.5,O,O,X,O,O,X,O,X
(주)레브웨어,26,5,62.5,O,O,X,X,O,O,X,O
특허법인 아이엠,6,5,62.5,O,O,O,X,O,X,X,O
(주)인포빌,9,5,62.5,O,O,X,X,X,O,O,O
주식회사 유니캐스트,13,5,62.5,O,O,X,O,X,X,O,O
주식회사 피앤아이솔루션스,13,5,62.5,O,O,X,X,O,O,X,O
플레이업파트너스 주식회사,18,5,62.5,O,O,O,X,X,X,O,O
엠에이엠 DESIGN,8,5,62.5,O,X,O,X,O,O,X,O
에이아이인사이트,13,5,62.5,O,O,O,X,X,O,X,O
이지메타주식회사,8 파일/API 통신,5,62.5,O,O,X,X,X,O,O,O
버즈앤비(주),22 파일/API 문화,5,62.5,O,O,X,X,O,O,X,O
포스페이스랩 주식회사,11,5,62.5,O,O,X,X,O,O,X,O
(주)프롬데이터,31,5,62.5,O,O,X,X,X,O,O,O
주식회사 제이씨지,12,5,62.5,O,X,X,X,O,O,O,O
(주)스피랩,12 파일/API 공공,5,62.5,O,O,X,O,O,X,X,O
주식회사펜타스아이피,6,5,62.5,O,O,X,X,O,O,X,O
글나무 주식회사,9,5,62.5,O,O,O,X,X,O,O,X
(주)애드아임,7,5,62.5,O,O,O,X,O,X,X,O
주식회사 뮤티,15,5,62.5,O,O,X,O,O,X,X,O
주식회사 인피닉,27,5,62.5,O,O,O,X,X,O,O,X
주식회사 유피시앤에스,18,5,62.5,O,O,O,X,O,X,X,O
에프원소프트(주),13,5,62.5,O,X,X,X,O,O,O,O
(주)딥서치,54 파일/API 스마트산업,5,62.5,O,O,X,X,X,O,O,O
주식회사 브릴위즈,14,5,62.5,O,O,X,X,O,O,X,O
주식회사 데이타몬드,67,5,62.5,O,O,O,X,X,X,O,O
주식회사 바닐라브레인,15,5,62.5,O,X,X,O,O,O,X,O
(주)테크다스,8,5,62.5,O,O,X,O,O,X,X,O
아이플랜국제특허법률사무소,31,5,62.5,O,O,O,X,O,X,X,O
주식회사 알체라,36,5,62.5,O,O,O,X,X,O,O,X
주식회사 한국데이터뱅크,12 파일/API 지역,5,62.5,O,O,O,X,X,O,X,O
에이치비씨 주식회사,8,5,62.5,O,O,X,X,O,O,X,O
(사)한국전자정보통신산업진흥회,9 파일/API 공공,5,62.5,O,O,X,O,O,X,X,O
머큐리프로젝트 주식회사,10,5,62.5,O,X,X,X,O,O,O,O
(주)휴먼아이티,13,5,62.5,O,O,X,O,O,X,O,X
(주)우리은행,14 파일/API 금융,5,62.5,O,O,X,X,X,O,O,O
(주)식스컴퍼니,11 파일/API 교육,5,62.5,O,O,X,X,O,O,X,O
에이비씨특허법률사무소,10,5,62.5,O,O,X,X,O,O,X,O
주식회사 다비오,12,5,62.5,O,O,X,X,O,X,O,O
(주)코그콤,8 파일/API 기후,5,62.5,O,O,O,X,O,X,X,O
(주)나이스디앤비,32 파일/API 금융,5,62.5,O,O,X,X,X,O,O,O
메이크이지 주식회사,13 파일/API 제조,5,62.5,O,O,X,X,O,O,X,O
(주)비즈스프링,19,5,62.5,O,O,X,X,O,O,X,O
주식회사지경솔루텍,17,5,62.5,O,O,O,O,X,O,X,X
주식회사 렛서,74,5,62.5,O,X,O,X,X,O,O,O
주식회사 나눔비타민,77,5,62.5,O,O,X,X,O,O,X,O
(주)옵티로,32,5,62.5,O,O,O,X,O,X,X,O
주식회사 고은,36 파일/API 문화,5,62.5,O,O,X,O,O,X,X,O
그린다에이아이,61 파일/API 금융,5,62.5,O,O,O,O,X,X,O,X
주식회사 셀키에이아이,27 파일/API 의료,5,62.5,O,O,X,X,O,O,X,O
기획공방_0001464835,35 파일/API 통신,4,50.0,O,O,X,X,X,O,X,O
(주)글로벌제조혁신네트웍,23,4,50.0,O,O,X,X,O,X,X,O
(주)데이타트렌드,25,4,50.0,O,O,X,X,O,X,X,O
(주)알앤디비,15 파일/API 문화,4,50.0,O,O,X,O,X,X,X,O
주식회사 딥핑소스,10,4,50.0,O,O,X,X,X,X,O,O
주식회사 머스트리,10,4,50.0,O,X,X,O,X,O,X,O
주식회사 붐잉,21,4,50.0,O,X,X,X,X,O,O,O
티에스컨설팅그룹 주식회사,8,4,50.0,O,X,X,X,O,O,X,O
(주)레몬클라우드,15,4,50.0,O,O,O,X,X,X,O,X
(주)테크디엔에이,13,4,50.0,O,O,X,X,O,X,X,O
(주)케이플러스,6,4,50.0,O,O,O,X,X,X,X,O
특허사무소공앤유,9,4,50.0,O,X,X,X,O,O,X,O
특허법인 세원,8 파일/API 특허,4,50.0,O,O,X,X,X,O,X,O
주식회사 뉴로라인즈,8 파일/API 제조,4,50.0,O,X,X,X,O,X,O,O
(주)이글루코퍼레이션,7 파일/API 통신,4,50.0,O,O,X,X,X,X,O,O
주식회사 브로큰에그,8,4,50.0,O,O,X,O,O,X,X,X
(주)카탈로닉스,8 파일/API 산림,4,50.0,O,X,O,X,O,X,X,O
주식회사 터빈크루,9 파일/API 환경,4,50.0,O,O,X,X,O,X,X,O
엠제이커넥트,9,4,50.0,O,O,X,O,O,X,X,X
주식회사 보이스루,10,4,50.0,O,X,O,X,X,O,O,X
(주)미디어 코퍼스,22,4,50.0,O,O,O,X,X,X,O,X
라텔즈컴퍼니 주식회사,23,4,50.0,O,O,X,X,O,X,X,O
주식회사 모리,1177,4,50.0,O,O,X,X,X,O,O,X
(주)크레아텍,8,4,50.0,O,X,O,X,O,X,X,O
제로원특허법률사무소,14 파일/API 특허,4,50.0,O,X,X,X,O,O,X,O
주식회사 코코에이치,15,4,50.0,O,O,X,X,O,X,X,O
(주)로지체인,18 파일/API 스마트산업,4,50.0,O,O,X,X,X,O,O,X
주식회사 디에이블,9,4,50.0,O,O,X,O,X,O,X,X
주식회사 앤톡,13 파일/API 통신,4,50.0,O,X,X,X,O,O,X,O
주식회사 뭉클랩,18,4,50.0,O,X,X,X,O,O,X,O
주식회사 리피치,18,4,50.0,O,O,X,X,X,X,O,O
주식회사 케이티아이에스,31 파일/API 통신,4,50.0,O,O,O,X,X,O,X,X
주식회사다컴즈,16,4,50.0,O,O,X,X,O,X,X,O
주식회사 코어엠,12,4,50.0,O,X,O,O,X,X,X,O
특허법인 알피엠,20,4,50.0,O,X,X,X,O,O,X,O
주식회사 연우테크놀러지,13 파일/API 금융,4,50.0,O,O,X,X,X,O,X,O
주식회사 로컬앤컴퍼니,161,4,50.0,O,O,X,X,O,X,X,O
주식회사 큐빅,8,4,50.0,O,X,O,X,X,X,O,O
주식회사 엔엠,11,4,50.0,O,X,X,X,O,O,X,O
오토오모니터 주식회사,11 파일/API 문화,4,50.0,O,O,X,X,X,O,X,O
(주)컴퓨터메이트,8,4,50.0,O,O,X,X,O,X,X,O
주식회사 덴탈비서_0001697475,16,4,50.0,O,X,X,X,O,O,X,O
주식회사 니즈,32,4,50.0,O,O,X,X,X,O,X,O
주식회사 폴리랩스,8,4,50.0,O,X,X,O,O,X,X,O
씨에프티 유한책임회사,11,4,50.0,O,O,X,O,X,X,X,O
주식회사 풀씨오믹스,21,4,50.0,O,O,X,X,O,X,X,O
주식회사 사차원주머니,20,4,50.0,O,O,X,X,O,X,X,O
주식회사 스퀘어스,14 파일/API 통신,4,50.0,O,X,X,X,O,O,X,O
바움국제특허법률사무소,16,4,50.0,O,O,X,X,O,X,X,O
(주)신테카바이오,16,4,50.0,O,O,X,X,X,O,X,O
(주)비저너리,17,4,50.0,O,X,X,X,O,X,O,O
핵클 주식회사,18,4,50.0,O,X,X,X,O,O,X,O
주식회사 워크원오원,7,3,37.5,O,X,X,X,O,X,X,O
(주)메디에이지,18 파일/API 헬스,3,37.5,O,O,X,X,X,X,X,O
인그래디언트,,3,37.5,O,O,X,X,X,X,X,O
(주)오픈잇,18,3,37.5,O,X,X,O,X,X,X,O
주식회사 팹스넷,37,3,37.5,O,X,X,O,O,X,X,X
룰루메딕(주),21,3,37.5,O,X,X,X,O,X,X,O
특허법인 루트,24,3,37.5,O,X,X,X,O,X,X,O
주식회사 듀이랩스,,3,37.5,O,X,O,X,X,X,X,O
(주)플립비(flipb),19,3,37.5,O,X,X,X,O,X,X,O
아이디비 주식회사,,3,37.5,O,X,X,X,O,X,X,O
주식회사 크라우드웍스,9,3,37.5,O,X,X,X,X,O,X,O
(주)나이스컨설팅,,3,37.5,O,X,X,X,O,X,X,O
한국평가데이터,59 파일/API 지역,3,37.5,O,X,X,X,O,X,X,O
(주)스캐터엑스,8,3,37.5,O,X,X,X,O,X,X,O
씽킹데이터코리아 주식회사,27,3,37.5,O,X,X,X,O,X,X,O
더블유에스코리아(주),14,3,37.5,O,X,O,X,X,O,X,X
프리즘 주식회사,11,3,37.5,O,X,X,X,O,X,X,O
(주)아이이에스지,27 파일/API 환경,3,37.5,O,X,X,X,O,X,X,O
[주]망고트리,32,3,37.5,O,X,X,X,O,O,X,X
하나와한솔(주),18,3,37.5,O,O,X,X,X,X,X,O
(주)프로보이스,10,3,37.5,O,O,X,X,X,X,O,X
주식회사 댄스트럭트,21,3,37.5,O,O,X,X,X,X,O,X
주식회사 스텔라비전,12 파일/API 지역,3,37.5,O,X,X,X,X,O,X,O
코코넛사일로 (주),8 파일/API 제조,3,37.5,O,X,X,X,O,X,X,O
(주)맥킨리라이스,9,3,37.5,O,O,X,X,X,X,O,X
넥스원소프트(주),12,3,37.5,O,O,X,X,X,O,X,X
(주)고브이알,13,3,37.5,O,X,X,X,O,X,X,O
(주)스튜디오삼육오,15 파일/API 문화,3,37.5,O,O,X,X,O,X,X,X
재단법인 행복아이씨티,19,3,37.5,O,O,X,X,X,X,O,X
컨트롤에프 주식회사,9,3,37.5,O,X,X,X,O,X,X,O
망고클라우드 주식회사,19,3,37.5,O,O,X,X,X,O,X,X
주식회사 이산컨설팅그룹,34,3,37.5,O,X,X,X,O,X,X,O
주)아이디케이스퀘어드,9,3,37.5,O,X,X,X,O,X,X,O
가치공간정보 주식회사,10,3,37.5,O,X,X,X,O,X,X,O
(주)솔리드이엔지,11,3,37.5,O,X,X,O,X,X,X,O
다큐브 주식회사,18,3,37.5,O,X,X,X,O,X,X,O
주식회사 모빌테크,14,3,37.5,O,O,X,X,X,X,O,X
(주)엠디에이,12,3,37.5,O,O,X,X,X,X,O,X
주식회사 스페이스오디티,11,3,37.5,O,X,X,X,O,X,X,O
주식회사 피케이,13,3,37.5,O,X,O,X,O,X,X,X
(주)에프아이솔루션,14,3,37.5,O,X,X,X,X,O,O,X
스마트마인드에이아이 주식회사,253,3,37.5,O,X,X,X,O,X,X,O
주식회사 마크클라우드,,2,25.0,O,X,X,X,X,X,X,O
주식회사 아파트엔,15,2,25.0,O,X,X,X,X,O,X,X
(주)원데이터기술,16 파일/API 스마트산업,2,25.0,O,X,X,X,O,X,X,X
가우스랩 주식회사,15,2,25.0,O,X,X,X,X,X,X,O
(주)비즈플러그,,2,25.0,X,X,X,X,O,X,X,O
부산인터넷방송국,,2,25.0,O,X,X,X,X,X,X,O
주식회사 노타,69,2,25.0,O,X,X,X,X,X,X,O
주식회사 애나,9,2,25.0,O,X,X,X,X,X,O,X
(주)에세텔,7 파일/API 교통,2,25.0,O,X,X,X,X,X,X,O
(주)노드데이타,16,2,25.0,O,X,O,X,X,X,X,X
(주)이누리,9,2,25.0,O,O,X,X,X,X,X,X
와이들리랩스,,2,25.0,O,X,X,X,X,X,X,O
(주)아이지에이웍스,31 파일/API 통신,2,25.0,O,X,X,X,X,X,X,O
주식회사 위베어소프트,9,2,25.0,O,X,X,O,X,X,X,X
주식회사 티나클론,17,2,25.0,O,X,X,X,X,X,X,O
팔레트 주식회사,9,1,12.5,O,X,X,X,X,X,X,X
주식회사인터엑스,,1,12.5,X,X,X,X,X,X,X,O
(주)디엔비소프트,,1,12.5,X,X,X,X,X,X,X,O
특허법인(유한)해담(서울사무소),,1,12.5,X,X,X,X,X,X,X,O
(주)티오더,15 파일/API 스마트산업,1,12.5,X,X,X,X,X,X,X,O
주식회사 비솔,18 파일/API 교육,1,12.5,X,X,O,X,X,X,X,X
(주)태산솔루젼스,17,1,12.5,O,X,X,X,X,X,X,X
주식회사 이데아인포,8 파일/API 환경,1,12.5,O,X,X,X,X,X,X,X
(주)늘푸른정보기술,,1,12.5,X,X,X,X,X,X,X,O
(주)딥세일즈,23 파일/API 제조,1,12.5,X,X,X,X,X,X,X,O
스페이스먼트,36,1,12.5,O,X,X,X,X,X,X,X
인포텍코퍼레이션(주),16,1,12.5,O,X,X,X,X,X,X,X
아이마인드주식회사,,1,12.5,O,X,X,X,X,X,X,X
(주)애즈플로우,15 파일/API 금융,1,12.5,X,X,O,X,X,X,X,X
(주)티맥스티베로,9,1,12.5,O,X,X,X,X,X,X,X
주식회사 서르,,1,12.5,O,X,X,X,X,X,X,X
주식회사 헤리티지커넥션,11 파일/API 문화,1,12.5,O,X,X,X,X,X,X,X
뉴로랩스 주식회사,,1,12.5,O,X,X,X,X,X,X,X
(주)한국리서치,21 파일/API 문화,1,12.5,X,X,X,X,X,X,X,O
(주)알디스데이터,7,1,12.5,O,X,X,X,X,X,X,X
주식회사 솔트룩스이노베이션,31,1,12.5,O,X,X,X,X,X,X,X
비비트리 주식회사,12 파일/API 통신,1,12.5,X,X,O,X,X,X,X,X
주식회사 투그램시스템즈,,1,12.5,X,X,X,X,X,X,X,O
모바일 앱개발 협동조합,13 파일/API 문화,1,12.5,O,X,X,X,X,X,X,X
오엔에스커뮤니케이션,12 파일/API 제조,1,12.5,X,X,O,X,X,X,X,X
주식회사 엠지스,,1,12.5,X,X,X,X,X,X,X,O
주식회사 코매퍼,,1,12.5,X,X,X,X,X,X,X,O
주식회사 한국데이터소프트,,1,12.5,X,X,O,X,X,X,X,X
주식회사 스토리숲,26 파일/API 문화,1,12.5,O,X,X,X,X,X,X,X
주식회사더웨이유,13 파일/API 통신,1,12.5,X,X,X,X,X,X,X,O
주식회사 인튜웍스,,1,12.5,X,O,X,X,X,X,X,X
비큐에이아이(BECUAI),28 파일/API 통신,1,12.5,X,X,O,X,X,X,X,X
주식회사 메트릭스튜디오,19,1,12.5,O,X,X,X,X,X,X,X
주식회사 인테그랩,,1,12.5,O,X,X,X,X,X,X,X
주식회사 엑스알에이아이,,0,0.0,X,X,X,X,X,X,X,X
주식회사 레드테이블,27 파일/API 의료,0,0.0,X,X,X,X,X,X,X,X
주식회사 푸딩,,0,0.0,X,X,X,X,X,X,X,X
주식회사 넥스브이,,0,0.0,X,X,X,X,X,X,X,X
(주)채움아이티,,0,0.0,X,X,X,X,X,X,X,X
(주)창조공작소,27 파일/API 스마트산업,0,0.0,X,X,X,X,X,X,X,X
임포트지니어스 코리아,21 파일/API 스마트산업,0,0.0,X,X,X,X,X,X,X,X
(주)사운드리더,9 파일/API 문화,0,0.0,X,X,X,X,X,X,X,X
주식회사 타날리시스,175 파일/API 특허,0,0.0,X,X,X,X,X,X,X,X
(주)세이퍼존,14 파일/API 스마트산업,0,0.0,X,X,X,X,X,X,X,X
주식회사 프렌츠,19 파일/API 제조,0,0.0,X,X,X,X,X,X,X,X
주식회사 로맨,,0,0.0,X,X,X,X,X,X,X,X
주식회사 비비다드,9 파일/API 통신,0,0.0,X,X,X,X,X,X,X,X
주식회사 패션서울닷컴,12 파일/API 스마트산업,0,0.0,X,X,X,X,X,X,X,X
최창혁()001102520240527111002861,,0,0.0,X,X,X,X,X,X,X,X
주식회사 그로잉랩,16 파일/API 금융,0,0.0,X,X,X,X,X,X,X,X
주식회사 트위닛,11 파일/API 헬스,0,0.0,X,X,X,X,X,X,X,X
한국정보통신(주),9 파일/API 지역,0,0.0,X,X,X,X,X,X,X,X
주식회사 도레미파 자체 이미지 데이터 확보 가능,,0,0.0,X,X,X,X,X,X,X,X
주식회사 엔클,9 파일/API 헬스,0,0.0,X,X,X,X,X,X,X,X
주식회사 두나미스에이아이,,0,0.0,X,X,X,X,X,X,X,X
(주)옥토봇,,0,0.0,X,X,X,X,X,X,X,X
주식회사 해시퍼플,,0,0.0,X,X,X,X,X,X,X,X
(주)뉴로클,,0,0.0,X,X,X,X,X,X,X,X
(주)딜리버리엠,12 파일/API 의료,0,0.0,X,X,X,X,X,X,X,X
주식회사 공감미디어,,0,0.0,X,X,X,X,X,X,X,X
주식회사 스마트동스쿨,23 파일/API 문화,0,0.0,X,X,X,X,X,X,X,X
(주)스튜디오EIM,11 파일/API 문화,0,0.0,X,X,X,X,X,X,X,X
(주)조이마케팅,90 파일/API 통신,0,0.0,X,X,X,X,X,X,X,X
(사)한국물가정보,15 파일/API 공공,0,0.0,X,X,X,X,X,X,X,X
(주)카일이삼제스퍼,9 파일/API 금융,0,0.0,X,X,X,X,X,X,X,X
주식회사 로드피아,8 파일/API 교육,0,0.0,X,X,X,X,X,X,X,X
(주)원스글로벌,45 파일/API 의료,0,0.0,X,X,X,X,X,X,X,X
주식회사올마이즈,16 파일/API 교육,0,0.0,X,X,X,X,X,X,X,X
주식회사 인투씨엔에스,19 파일/API 헬스,0,0.0,X,X,X,X,X,X,X,X
(주)블로우랩,14 파일/API 고용,0,0.0,X,X,X,X,X,X,X,X
주식회사 아이웹,,0,0.0,X,X,X,X,X,X,X,X
게티이미지코리아,37 파일/API 통신,0,0.0,X,X,X,X,X,X,X,X
주식회사 넥사디에스,,0,0.0,X,X,X,X,X,X,X,X
(주)이크레더블,11 파일/API 금융,0,0.0,X,X,X,X,X,X,X,X
주식회사 데이탄소프트,21 파일/API 제조,0,0.0,X,X,X,X,X,X,X,X
주식회사 지투시그마,46 파일/API 금융,0,0.0,X,X,X,X,X,X,X,X
(주)켐토피아,23 파일/API 환경,0,0.0,X,X,X,X,X,X,X,X
